name,x,y,start_time,end_time,service_time,demand,revenue
task_0,6,4,0,240,30,10,50
task_1,9,20,240,480,30,10,50
task_2,14,18,480,720,30,10,50
task_3,21,1,0,240,30,10,50
task_4,29,0,240,480,30,10,50
task_5,2,4,480,720,30,10,50
task_6,12,13,0,240,30,10,50
task_7,17,5,240,480,30,10,50
task_8,2,23,480,720,30,10,50
task_9,2,26,0,240,30,10,50
task_10,14,15,240,480,30,10,50
task_11,18,4,480,720,30,10,50
task_12,28,19,0,240,30,10,50
task_13,29,6,240,480,30,10,50
task_14,19,22,480,720,30,10,50
task_15,11,9,0,240,30,10,50
task_16,12,15,240,480,30,10,50
task_17,17,8,480,720,30,10,50
task_18,23,17,0,240,30,10,50
task_19,4,29,240,480,30,10,50
task_20,26,7,480,720,30,10,50
task_21,21,2,0,240,30,10,50
task_22,26,25,240,480,30,10,50
task_23,25,27,480,720,30,10,50
task_24,3,20,0,240,30,10,50
task_25,13,6,240,480,30,10,50
task_26,3,9,480,720,30,10,50
task_27,14,20,0,240,30,10,50
task_28,18,27,240,480,30,10,50
task_29,20,29,480,720,30,10,50
task_30,18,26,0,240,30,10,50
task_31,9,28,240,480,30,10,50
task_32,25,22,480,720,30,10,50
task_33,24,15,0,240,30,10,50
task_34,3,18,240,480,30,10,50
task_35,7,6,480,720,30,10,50
task_36,14,18,0,240,30,10,50
task_37,20,18,240,480,30,10,50
task_38,3,9,480,720,30,10,50
task_39,3,7,0,240,30,10,50
