name,x,y,start_time,end_time,service_time,demand,revenue
task_0,20,14,0,240,30,10,50
task_1,9,4,240,480,30,10,50
task_2,29,0,480,720,30,10,50
task_3,24,26,0,240,30,10,50
task_4,11,10,240,480,30,10,50
task_5,25,15,480,720,30,10,50
task_6,15,22,0,240,30,10,50
task_7,18,18,240,480,30,10,50
task_8,2,13,480,720,30,10,50
task_9,29,13,0,240,30,10,50
task_10,15,21,240,480,30,10,50
task_11,8,27,480,720,30,10,50
task_12,28,9,0,240,30,10,50
task_13,27,22,240,480,30,10,50
task_14,21,24,480,720,30,10,50
task_15,6,26,0,240,30,10,50
task_16,28,8,240,480,30,10,50
task_17,7,2,480,720,30,10,50
task_18,12,18,0,240,30,10,50
task_19,11,5,240,480,30,10,50
task_20,22,11,480,720,30,10,50
task_21,1,2,0,240,30,10,50
task_22,5,4,240,480,30,10,50
task_23,27,19,480,720,30,10,50
task_24,7,27,0,240,30,10,50
task_25,5,1,240,480,30,10,50
task_26,29,9,480,720,30,10,50
task_27,11,0,0,240,30,10,50
task_28,3,12,240,480,30,10,50
task_29,12,28,480,720,30,10,50
