name,x,y,start_time,end_time,service_time,demand,revenue
task_0,14,28,0,240,30,10,50
task_1,24,12,240,480,30,10,50
task_2,7,4,480,720,30,10,50
task_3,13,12,0,240,30,10,50
task_4,25,17,240,480,30,10,50
task_5,12,4,480,720,30,10,50
task_6,24,24,0,240,30,10,50
task_7,1,29,240,480,30,10,50
task_8,15,24,480,720,30,10,50
task_9,20,14,0,240,30,10,50
task_10,13,17,240,480,30,10,50
task_11,15,20,480,720,30,10,50
task_12,0,29,0,240,30,10,50
task_13,0,14,240,480,30,10,50
task_14,25,1,480,720,30,10,50
task_15,14,21,0,240,30,10,50
task_16,13,21,240,480,30,10,50
task_17,13,10,480,720,30,10,50
task_18,3,12,0,240,30,10,50
task_19,22,1,240,480,30,10,50
task_20,0,28,480,720,30,10,50
task_21,25,20,0,240,30,10,50
task_22,28,28,240,480,30,10,50
task_23,26,21,480,720,30,10,50
task_24,7,13,0,240,30,10,50
task_25,16,1,240,480,30,10,50
task_26,5,27,480,720,30,10,50
task_27,0,27,0,240,30,10,50
task_28,27,13,240,480,30,10,50
task_29,23,14,480,720,30,10,50
task_30,14,0,0,240,30,10,50
task_31,9,25,240,480,30,10,50
task_32,24,15,480,720,30,10,50
task_33,19,18,0,240,30,10,50
task_34,26,16,240,480,30,10,50
task_35,23,4,480,720,30,10,50
task_36,11,16,0,240,30,10,50
task_37,6,26,240,480,30,10,50
task_38,10,22,480,720,30,10,50
task_39,27,12,0,240,30,10,50
